currentTime,batteryState,protect,projection,purifier,round,battery,voltage,electricity,duration
2016/05/15 01:01:51,0,20000,false,false,false,97%,26082MV,189MA,00:29:36
2016/05/15 01:02:15,0,20000,false,false,false,97%,26082MV,189MA,00:29:59
2016/05/15 01:02:21,0,20000,false,false,false,97%,26082MV,186MA,00:30:06
2016/05/15 01:02:45,0,20000,false,false,false,97%,26082MV,186MA,00:30:29
2016/05/15 01:02:51,0,20000,false,false,false,97%,26082MV,186MA,00:30:36
2016/05/15 01:03:15,0,20000,false,false,false,97%,26082MV,186MA,00:30:59
2016/05/15 01:03:21,0,20000,false,false,false,97%,26082MV,189MA,00:31:06
2016/05/15 01:03:45,0,20000,false,false,false,97%,26082MV,189MA,00:31:29
2016/05/15 01:03:51,0,20000,false,false,false,97%,26082MV,186MA,00:31:36
2016/05/15 01:04:15,0,20000,false,false,false,97%,26082MV,186MA,00:31:59
2016/05/15 01:04:21,0,20000,false,false,false,97%,26082MV,186MA,00:32:06
2016/05/15 01:04:45,0,20000,false,false,false,97%,26082MV,189MA,00:32:29
2016/05/15 01:04:51,0,20000,false,false,false,97%,26082MV,186MA,00:32:36
2016/05/15 01:05:15,0,20000,false,false,false,97%,26082MV,186MA,00:32:59
2016/05/15 01:05:21,0,20000,false,false,false,97%,26082MV,186MA,00:33:06
2016/05/15 01:05:45,0,20000,false,false,false,97%,26082MV,189MA,00:33:29
2016/05/15 01:05:51,0,20000,false,false,false,97%,26082MV,186MA,00:33:36
2016/05/15 01:06:15,0,20000,false,false,false,97%,26061MV,186MA,00:33:59
2016/05/15 01:06:21,0,20000,false,false,false,97%,26061MV,186MA,00:34:06
2016/05/15 01:06:45,0,20000,false,false,false,97%,26061MV,186MA,00:34:29
2016/05/15 01:06:51,0,20000,false,false,false,97%,26061MV,186MA,00:34:36
2016/05/15 01:07:15,0,20000,false,false,false,97%,26061MV,186MA,00:34:59
2016/05/15 01:07:21,0,20000,false,false,false,97%,26061MV,186MA,00:35:06
